scenario,threshold,mode,hold_hours,trend_filter,cost,n,win_rate,avg
baseline_raw_4h,0.0988,raw,4,none,0.0002,1386,0.4898989898989899,-0.0002591686087327864
baseline_raw_4h,0.0988,raw,4,none,0.0004,1386,0.481962481962482,-0.0004591686087327953
baseline_raw_4h,0.0988,raw,4,none,0.0006,1386,0.4733044733044733,-0.0006591686087327982
baseline_raw_4h,0.0988,raw,4,none,0.0008,1386,0.4668109668109668,-0.000859168608732794
baseline_raw_4h,0.0988,raw,4,none,0.001,1386,0.45526695526695526,-0.001059168608732789
baseline_raw_4h,0.0988,raw,4,none,0.0012,1386,0.4509379509379509,-0.0012591686087328052
alt_flat_4h_th009,0.09,alternating,4,0.02,0.0002,485,0.4927835051546392,0.0009067621013724315
alt_flat_4h_th009,0.09,alternating,4,0.02,0.0004,485,0.4845360824742268,0.0007067621013724124
alt_flat_4h_th009,0.09,alternating,4,0.02,0.0006,485,0.48041237113402063,0.0005067621013724255
alt_flat_4h_th009,0.09,alternating,4,0.02,0.0008,485,0.4762886597938144,0.00030676210137241407
alt_flat_4h_th009,0.09,alternating,4,0.02,0.001,485,0.4639175257731959,0.00010676210137241882
alt_flat_4h_th009,0.09,alternating,4,0.02,0.0012,485,0.4556701030927835,-9.323789862758372e-05
alt_4h_th018,0.18,alternating,4,none,0.0002,213,0.5352112676056338,0.0011970665289017083
alt_4h_th018,0.18,alternating,4,none,0.0004,213,0.5211267605633803,0.0009970665289016965
alt_4h_th018,0.18,alternating,4,none,0.0006,213,0.5164319248826291,0.0007970665289017075
alt_4h_th018,0.18,alternating,4,none,0.0008,213,0.5117370892018779,0.0005970665289016996
alt_4h_th018,0.18,alternating,4,none,0.001,213,0.5070422535211268,0.00039706652890170223
alt_4h_th018,0.18,alternating,4,none,0.0012,213,0.49765258215962443,0.0001970665289017032
alt_flat_48h_th007,0.07,alternating,48,0.02,0.0002,812,0.4963054187192118,0.0011445381886087199
alt_flat_48h_th007,0.07,alternating,48,0.02,0.0004,812,0.4963054187192118,0.0009445381886087047
alt_flat_48h_th007,0.07,alternating,48,0.02,0.0006,812,0.49261083743842365,0.0007445381886087131
alt_flat_48h_th007,0.07,alternating,48,0.02,0.0008,812,0.49137931034482757,0.0005445381886087033
alt_flat_48h_th007,0.07,alternating,48,0.02,0.001,812,0.4827586206896552,0.00034453818860870485
alt_flat_48h_th007,0.07,alternating,48,0.02,0.0012,812,0.4815270935960591,0.00014453818860870422
raw_24h_th014,0.14,raw,24,none,0.0002,670,0.4925373134328358,0.0007368685478534954
raw_24h_th014,0.14,raw,24,none,0.0004,670,0.4880597014925373,0.0005368685478534879
raw_24h_th014,0.14,raw,24,none,0.0006,670,0.48208955223880595,0.00033686854785348734
raw_24h_th014,0.14,raw,24,none,0.0008,670,0.48208955223880595,0.0001368685478534822
raw_24h_th014,0.14,raw,24,none,0.001,670,0.4791044776119403,-6.313145214651577e-05
raw_24h_th014,0.14,raw,24,none,0.0012,670,0.4761194029850746,-0.00026313145214651684
