scenario_id,test_year,train_years,train_n,train_avg,test_n,test_avg,test_win_rate
S0_baseline_raw_4h,2022,2021,273,0.0002318328342237534,566,-0.000853978051622174,0.4664310954063604
S0_baseline_raw_4h,2023,"2021,2022",839,-0.0005006689075984099,103,-0.0008859116570138261,0.44660194174757284
S0_baseline_raw_4h,2024,"2021,2022,2023",942,-0.0005427920532351299,224,-0.001313600313639953,0.45089285714285715
S0_baseline_raw_4h,2025,"2021,2022,2023,2024",1166,-0.0006908718562631623,181,-0.0017372555754589499,0.4696132596685083
S0_baseline_raw_4h,2026,"2021,2022,2023,2024,2025",1347,-0.0008314772409509354,39,-0.0018155858498139761,0.4358974358974359
S1_alt_flat_48h_th007,2022,2021,164,0.0019200126875536239,327,-0.0003632832672821924,0.4709480122324159
S1_alt_flat_48h_th007,2023,"2021,2022",491,0.00039936548341653293,71,-0.0007025661921406981,0.4647887323943662
S1_alt_flat_48h_th007,2024,"2021,2022,2023",562,0.00026015347458278854,136,0.00019363698536140864,0.4852941176470588
S1_alt_flat_48h_th007,2025,"2021,2022,2023,2024",698,0.0002471932417259003,99,0.0006781371027436327,0.5252525252525253
S1_alt_flat_48h_th007,2026,"2021,2022,2023,2024,2025",797,0.00030072328217854255,15,0.013499236883597925,0.5333333333333333
S2_alt_flat_24h_th007,2022,2021,164,0.0014267491300290814,327,-0.0004059327896776837,0.4740061162079511
S2_alt_flat_24h_th007,2023,"2021,2022",491,0.0002062053668027824,71,0.00024910584957941887,0.4647887323943662
S2_alt_flat_24h_th007,2024,"2021,2022,2023",562,0.00021162517868381566,136,-0.0019150594796058125,0.4485294117647059
S2_alt_flat_24h_th007,2025,"2021,2022,2023,2024",698,-0.00020274317880528042,99,0.0022540916814094217,0.5454545454545454
S2_alt_flat_24h_th007,2026,"2021,2022,2023,2024,2025",797,0.00010243455163544133,15,0.0027530354711156504,0.5333333333333333
S3_alt_flat_4h_th009,2022,2021,112,-0.0001676634667494429,206,0.0015270937826545863,0.5
S3_alt_flat_4h_th009,2023,"2021,2022",318,0.0009301981476443639,33,-0.0016034746018572744,0.45454545454545453
S3_alt_flat_4h_th009,2024,"2021,2022,2023",351,0.0006919895985459177,72,-2.793677844066523e-05,0.5
S3_alt_flat_4h_th009,2025,"2021,2022,2023,2024",423,0.0005694489386333045,55,-0.0013620345758757683,0.43636363636363634
S3_alt_flat_4h_th009,2026,"2021,2022,2023,2024,2025",478,0.0003472071116500432,7,-0.00245505431472855,0.2857142857142857
S4_raw_flat_48h_th00988,2022,2021,134,0.0050499257180923315,272,8.835888661635283e-05,0.5073529411764706
S4_raw_flat_48h_th00988,2023,"2021,2022",406,0.0017259203531626022,55,0.0004902366961767832,0.43636363636363634
S4_raw_flat_48h_th00988,2024,"2021,2022,2023",461,0.001578496055691406,106,-0.0023528781654288664,0.4811320754716981
S4_raw_flat_48h_th00988,2025,"2021,2022,2023,2024",567,0.0008435301519193604,85,-0.0038808369179215768,0.4823529411764706
S4_raw_flat_48h_th00988,2026,"2021,2022,2023,2024,2025",652,0.0002276234020167819,11,-0.008145387772631575,0.36363636363636365
S5_raw_24h_th014,2022,2021,129,-0.0005656970191451117,292,0.0008313681739054111,0.4863013698630137
S5_raw_24h_th014,2023,"2021,2022",421,0.00040328881546475314,43,-0.0038285652152198557,0.4418604651162791
S5_raw_24h_th014,2024,"2021,2022,2023",464,1.1112687621136539e-05,109,0.0033896258198526023,0.5321100917431193
S5_raw_24h_th014,2025,"2021,2022,2023,2024",573,0.0006537966865971046,81,-0.002924219897208473,0.41975308641975306
S5_raw_24h_th014,2026,"2021,2022,2023,2024,2025",654,0.00021064784364870548,16,-0.002878860167776273,0.375
S6_alt_4h_th018,2022,2021,47,0.002319768765899894,106,-0.0003217046540247972,0.4811320754716981
S6_alt_4h_th018,2023,"2021,2022",153,0.0004897283573246095,15,-0.001944921135469506,0.4666666666666667
S6_alt_4h_th018,2024,"2021,2022,2023",168,0.00027234893832513504,23,0.0017340218170126876,0.5217391304347826
S6_alt_4h_th018,2025,"2021,2022,2023,2024",191,0.0004483619027744216,19,0.0010828589329421729,0.631578947368421
S6_alt_4h_th018,2026,"2021,2022,2023,2024,2025",210,0.0005057687769324564,3,0.006987909166748726,1.0
