scenario_id,year,n,avg,win_rate,sum
B0_baseline_raw4h_fixed,2021,273,0.0002318328342237534,0.4908424908424908,0.06329036374308468
B0_baseline_raw4h_fixed,2022,566,-0.000853978051622174,0.4664310954063604,-0.4833515772181505
B0_baseline_raw4h_fixed,2023,103,-0.0008859116570138261,0.44660194174757284,-0.0912489006724241
B0_baseline_raw4h_fixed,2024,224,-0.001313600313639953,0.45089285714285715,-0.2942464702553495
B0_baseline_raw4h_fixed,2025,181,-0.0017372555754589499,0.4696132596685083,-0.3144432591580699
B0_baseline_raw4h_fixed,2026,39,-0.0018155858498139761,0.4358974358974359,-0.07080784814274507
V2A_alt_th009_flat_vol_cool6_tp20_sl12_h24,2021,74,-0.0005558462601432354,0.3918918918918919,-0.04113262325059942
V2A_alt_th009_flat_vol_cool6_tp20_sl12_h24,2022,150,0.00187206816985369,0.49333333333333335,0.2808102254780535
V2A_alt_th009_flat_vol_cool6_tp20_sl12_h24,2023,30,0.0006797813162739391,0.5,0.020393439488218174
V2A_alt_th009_flat_vol_cool6_tp20_sl12_h24,2024,58,0.0009972229466453414,0.4482758620689655,0.057838930905429804
V2A_alt_th009_flat_vol_cool6_tp20_sl12_h24,2025,45,0.0015819323724052545,0.4888888888888889,0.07118695675823646
V2A_alt_th009_flat_vol_cool6_tp20_sl12_h24,2026,7,0.002164841374937054,0.5714285714285714,0.015153889624559377
V2B_alt_th018_vol_cool8_tp15_sl10_h12,2021,34,0.0021938677731548496,0.5,0.07459150428726488
V2B_alt_th018_vol_cool8_tp15_sl10_h12,2022,75,-0.0035451371694314314,0.38666666666666666,-0.26588528770735737
V2B_alt_th018_vol_cool8_tp15_sl10_h12,2023,11,0.0007478546674445287,0.5454545454545454,0.008226401341889816
V2B_alt_th018_vol_cool8_tp15_sl10_h12,2024,19,0.002582821543357543,0.5263157894736842,0.049073609323793316
V2B_alt_th018_vol_cool8_tp15_sl10_h12,2025,16,0.00025959916507173526,0.375,0.004153586641147764
V2B_alt_th018_vol_cool8_tp15_sl10_h12,2026,3,0.007261580067504793,0.6666666666666666,0.021784740202514377
V2C_alt_th007_flat_cool24_tp30_sl20_h48,2021,66,0.004284140462634412,0.5,0.2827532705338712
V2C_alt_th007_flat_cool24_tp30_sl20_h48,2022,131,0.0016016726482619352,0.46564885496183206,0.2098191169223135
V2C_alt_th007_flat_cool24_tp30_sl20_h48,2023,51,-0.002452639515229414,0.47058823529411764,-0.12508461527670012
V2C_alt_th007_flat_cool24_tp30_sl20_h48,2024,80,-0.002487365386319403,0.375,-0.19898923090555226
V2C_alt_th007_flat_cool24_tp30_sl20_h48,2025,63,0.0029660224086879516,0.5555555555555556,0.18685941174734094
V2C_alt_th007_flat_cool24_tp30_sl20_h48,2026,13,0.003565880582081547,0.5384615384615384,0.04635644756706011
V2D_raw_th014_flat_vol_tp25_sl15_h24,2021,42,-0.00027470938187917134,0.42857142857142855,-0.011537794038925197
V2D_raw_th014_flat_vol_tp25_sl15_h24,2022,103,0.0006617105220314724,0.47572815533980584,0.06815618376924167
V2D_raw_th014_flat_vol_tp25_sl15_h24,2023,25,-0.0015938377358743713,0.4,-0.03984594339685928
V2D_raw_th014_flat_vol_tp25_sl15_h24,2024,41,0.0030923914600902553,0.5121951219512195,0.12678804986370046
V2D_raw_th014_flat_vol_tp25_sl15_h24,2025,34,-0.0039140327666946475,0.38235294117647056,-0.13307711406761802
V2D_raw_th014_flat_vol_tp25_sl15_h24,2026,5,-0.002820858214271626,0.4,-0.01410429107135813
V2E_alt_th010_flat_vol_cool8_tp25_sl12_h24,2021,54,-0.0009774518006899185,0.3333333333333333,-0.0527823972372556
V2E_alt_th010_flat_vol_cool8_tp25_sl12_h24,2022,118,0.0025110694024255875,0.4745762711864407,0.29630618948621934
V2E_alt_th010_flat_vol_cool8_tp25_sl12_h24,2023,24,-0.0027401704095409048,0.375,-0.06576408982898171
V2E_alt_th010_flat_vol_cool8_tp25_sl12_h24,2024,49,0.0015743399990974468,0.42857142857142855,0.07714265995577489
V2E_alt_th010_flat_vol_cool8_tp25_sl12_h24,2025,38,0.00400711177499474,0.5263157894736842,0.15227024744980014
V2E_alt_th010_flat_vol_cool8_tp25_sl12_h24,2026,6,0.00027679358886101784,0.5,0.001660761533166107
