scenario,maker_ratio,extra_slippage,n,win_rate,avg,mdd,prob_mean_gt_0
V3C_like_fixed,0.5,0.0,289,0.4463667820069204,0.0016646483438018127,-0.12826545332079475,0.9312
V3C_like_fixed,0.5,0.0002,289,0.43944636678200694,0.001464648343801806,-0.133505097400328,0.9064
V3C_like_fixed,0.5,0.0004,289,0.4359861591695502,0.0012646483438018058,-0.13871429198098928,0.8704
V3C_like_fixed,0.8,0.0,289,0.4463667820069204,0.0018146483438018048,-0.12431563445557603,0.9456
V3C_like_fixed,0.8,0.0002,289,0.4429065743944637,0.0016146483438018156,-0.12957822836135502,0.9264
V3C_like_fixed,0.8,0.0004,289,0.43944636678200694,0.0014146483438018088,-0.1348102439949843,0.8984
V3D_like_volTarget,0.5,0.0,289,0.4463667820069204,0.002204211821534275,-0.22319746239568838,0.892
V3D_like_volTarget,0.5,0.0002,289,0.43944636678200694,0.001879791787475589,-0.23131629270355814,0.8504
V3D_like_volTarget,0.5,0.0004,289,0.4359861591695502,0.0015553717534169018,-0.23935309471014676,0.806
V3D_like_volTarget,0.8,0.0,289,0.4463667820069204,0.002447526847078289,-0.2170540229359429,0.9148
V3D_like_volTarget,0.8,0.0002,289,0.4429065743944637,0.002123106813019603,-0.2252349041721302,0.8824
V3D_like_volTarget,0.8,0.0004,289,0.43944636678200694,0.001798686778960916,-0.23333315197110782,0.8416
